id,a0,a1,a2,a3,a4,
cero,10.78720,22.87860,43.96010,0,-1,
cero,12.61790,84.20690,35.62690,0,-1,
cero,14.03230,119.03800,34.77820,0,-1,
cero,11.06690,340.91200,35.28080,0,-1,
cero,13.12500,175.72200,32.56250,0,-1,
cero,14.19060,76.00730,42.34020,0,-1,
cero,10.56520,91.19320,31.65760,0,-1,
cero,12.80490,85.40860,42.36890,0,-1,
cero,13.50000,96.64360,31.00000,0,-1,
cero,14.81740,103.06500,42.19420,0,-1,
cero,13.51940,222.10500,34.80880,0,-1,
cero,11.18180,109.57300,34.20450,0,-1,
cero,12.09090,30.59240,36.00380,0,-1,
cero,13.66670,53.70490,32.69440,0,-1,
cero,13.23530,267.48900,38.72060,0,-1,
cero,12.66670,48.28680,30.22220,0,-1,
cero,13.68750,121.20500,36.26560,0,-1,
cero,14.14290,119.47600,33.33930,0,-1,
cero,14.82030,23.73620,38.04990,0,-1,
cero,12.24320,119.76100,32.03040,0,-1,
cero,12.46200,73.57180,30.08730,0,-1,
cero,13.05880,97.64960,38.52940,0,-1,
cero,11.51610,134.28200,31.10080,0,-1,
cero,10.90240,124.37400,36.68600,0,-1,
cero,11.36360,24.03760,30.18560,0,-1,
cero,12.09090,42.43580,33.00380,0,-1,
cero,11.37210,342.66600,31.23550,0,-1,
cero,12.75000,30.69370,37.25000,0,-1,
cero,12.73330,254.94100,57.33610,0,-1,
cero,14.06250,357.09600,37.89060,0,-1,
cero,13.06450,290.83900,34.48790,0,-1,
cero,12.47370,231.39200,32.05920,0,-1,
cero,10.90240,43.77170,33.68600,0,-1,
cero,13.00000,340.00300,46.79170,0,-1,
cero,12.26090,35.77750,31.04350,0,-1,
cero,11.52630,37.67920,30.11840,0,-1,
cero,13.09090,19.34900,32.36360,0,-1,
cero,12.18750,217.81800,30.01560,0,-1,
cero,13.76910,284.93800,42.27500,0,-1,
cero,13.36360,95.77620,34.85230,0,-1,
cero,12.49560,161.59700,30.28410,0,-1,
cero,14.00000,168.28400,40.66670,0,-1,
cero,13.60980,25.10950,36.31170,0,-1,
