id,a0,1,a2,a3,a4
cero,13.9412,160.931,30.8897,0,-1
cero,12.4286,228.812,33.0893,0,-1
cero,18,134.792,40.2227,0,-1
cero,15.996,84.1029,44.4237,0,-1
cero,13.9091,228.639,39.4849,0,-1
cero,11.6897,86.2705,32.0388,0,-1
cero,9.41379,195.803,33.694,0,-1
cero,11.9032,277.024,32.004,0,-1
cero,13.7586,255.087,35.2457,0,-1
cero,13.3333,51.371,39.8889,0,-1
cero,13.5,343.134,37,0,-1
cero,11.9231,221.482,36.0032,0,-1
cero,12.375,209.839,41.0625,0,-1
cero,13.9565,242.638,32.2228,0,-1
cero,13.1379,66.1186,32.5215,0,-1
cero,14.2258,333.091,36.1331,0,-1
cero,14.1429,51.3489,35.3393,0,-1
cero,13.2384,82.2487,36.969,0,-1
cero,14.9717,79.6737,38.2146,0,-1
cero,13.5164,66.6991,38.0877,0,-1
cero,12.986,75.0285,40.874,0,-1
cero,13.2162,303.916,39.7601,0,-1
cero,13.4571,62.1467,38.0322,0,-1
cero,11.9362,90.9555,40.0027,0,-1
cero,15.1088,62.1908,72.8375,0,-1
cero,11.4,69.1561,34.175,0,-1
cero,12,94.3805,35,0,-1
cero,13.2632,135.811,38.8421,0,-1
cero,13.1035,130.007,37.7686,0,-1
cero,13.8333,87.2002,40.6806,0,-1
cero,15.5745,126.884,35.8152,0,-1
cero,14.28,215.929,34.805,0,-1
cero,13.0714,61.1481,32.4464,0,-1
cero,12.2432,220.056,31.0304,0,-1
cero,12.4286,195.528,31.0714,0,-1
cero,12.7505,152.194,36.2385,0,-1
cero,12.8824,152.024,48.5515,0,-1
cero,13.32,97.959,30.605,0,-1
cero,13.7143,212.558,35.1429,0,-1
cero,12.4892,174.93,41.5198,0,-1
cero,12.8333,318.185,32.3472,0,-1
cero,13.3422,314.069,34.1025,0,-1
cero,12.2884,44.0013,43.0401,0,-1
cero,14.1,227.302,31.225,0,-1
cero,13.4146,224.51,33.7177,0,-1
cero,12.4286,295.097,31.1071,0,-1
cero,13.9321,207.153,35.7805,0,-1
cero,13.3851,171.705,38.3284,0,-1
cero,13,179.218,39.5,0,-1
cero,9.92308,260.672,31.5577,0,-1
cero,14.5275,326.287,43.504,0,-1
cero,13.2743,279.878,38.2228,0,-1
cero,14.04,28.728,34.445,0,-1
cero,13.6154,190.147,36.9423,0,-1
cero,13.1538,197.462,39.7211,0,-1
cero,13.3427,352.493,33.0776,0,-1
cero,12.6564,240.101,37.4991,0,-1
cero,12.2308,205.736,38.0288,0,-1
cero,12.7241,106.211,31.2112,0,-1
cero,15.2857,301.086,36.1488,0,-1
cero,14,9.79996,31.6667,0,-1
cero,12.1429,236.23,33.0119,0,-1
cero,13.32,108.977,30.605,0,-1
cero,12.7059,278.835,32.2353,0,-1
cero,13.5606,261.142,37.9453,0,-1
cero,13.8889,37.5354,34.338,0,-1
cero,12.4,11.3512,31.0667,0,-1
cero,12.1562,315.205,31.224,0,-1
cero,12.4667,278.276,34.1361,0,-1
cero,12.9705,226.117,31.3954,0,-1
cero,14.1459,275.635,32.4801,0,-1
cero,14.8351,319.035,33.0662,0,-1
cero,16.3757,357.442,42.0573,0,-1
cero,12.2571,247.927,33.0321,0,-1
cero,13.6469,267.171,43.4105,0,-1
cero,13.4,28.3617,30.8167,0,-1
cero,13.301,186.745,34.9005,0,-1
cero,11.1818,53.5749,30.3068,0,-1
cero,13.7697,136.43,43.532,0,-1
cero,12.7297,189.932,30.2737,0,-1
cero,12.9512,62.2945,34.5152,0,-1
cero,13.9916,26.8015,35.4568,0,-1
cero,13.1577,53.9977,33.9708,0,-1
cero,12.7714,147.52,31.2893,0,-1
cero,13.7454,70.6618,39.5515,0,-1
cero,12.2308,54.8581,32.0288,0,-1
cero,15,41.3225,32.75,0,-1
cero,12,326.098,38,0,-1
cero,9.9375,317.592,35.8906,0,-1
cero,14.8517,127.009,45.1998,0,-1
cero,13.2857,153.193,38.9643,0,-1
